,id,free_text,label_id,CLEAN,OFFENSIVE,HATE
0,train_aabeeyfurc,"""đồ đẹp mà không tậu cho mình một bộ là có lỗi zí bản_thân lắm luôn nha nàng thanh_xuân là để điệu_đà chỉ là có ngay một bộ cực yêu_tuyển sỉ toàn_quốc giá tuyệt_vời luôn nè lê_thư""",0,1.0,0.0,0.0
1,train_aabetrttaa,"""ngáo vl""",0,1.0,0.0,0.0
2,train_aaccolapwa,"""son nhiu mimi""",0,1.0,0.0,0.0
3,train_aacoaahwdb,"""hanh ha lâm hằng hang nguyen""",0,1.0,0.0,0.0
4,train_aaczjqfhfk,"""nguyen tam_to the group chợ chung_cư petroland quận shalom music academy mùa hè mới cơ_sở mới shalom music academy vô_cùng hân_hoan thông_báo cùng quí phụ_huynh rằng chúng_tôi vừa tưng_bừng khai_trương thêm một cơ_sở mới tại kcd siêu cao_cấp lakeview city trân_trọng kính mời xem qua hình_ảnh trong clip nhân_dịp khai_trương cơ_sở mới tặng ngay cho tất_cả các học_viên mới hoặc đã từng tham_gia học_tập với sma quay trở_lại đăng_ký khoá mới chương_trình ưu_đãi kéo_dài đến hết ngày áp_dụng tại cơ_sở lakeview city đăng_ký ngay qua""",0,1.0,0.0,0.0
5,train_aaelnqhrbe,"""thế_giới đồ cũ to the group hội mua_bán thanh_lý đồ cũ mẹ và bé đà_nẵng thế_giới tủ nấu cơm công_nghiệp còn mới keng nấu được số_lượng lớn nhanh hiệu_quả giá mềm cho bạn nào có nhu_cầu liên_hệ xdm hành hải phòng""",0,1.0,0.0,0.0
6,train_aafqvlshoy,"""chất kate thai""",0,1.0,0.0,0.0
7,train_aafwikdcpx,"""khánh hào phim hành_động""",0,1.0,0.0,0.0
8,train_aagxxplhgx,"""cho xíu nhạc đi""",0,1.0,0.0,0.0
9,train_aajcphdemi,"""chớ nhưng bị cắm cũng hp vl""",0,1.0,0.0,0.0
10,train_aakkehlwhq,"""mấy thằng tên đạt nguy_hiểm_vl""",0,1.0,0.0,0.0
11,train_aalwwgjvib,"""kgw điện thì tính bậc giá hà_cớ gì kgw điện bậc giá trong lúc đó điện sản_xuất điện kinh_doanh thì chỉ tính bậc giá mấy ông quan này toàn làm khổ những tầng_lớp nông_dân_nghèo""",0,1.0,0.0,0.0
12,train_aamxfkpeno,"""lý hằng nga shop hà_mây sỉ lẻ thời_trang giá rẻ không hẹn mà lên nhé các ty""",0,1.0,0.0,0.0
13,train_aanjdpjkww,"""huỳnh_thái gia hải connan nua nha""",0,1.0,0.0,0.0
14,train_aapajmyxyf,"""tư_vấn giúp dòng răng sứ ceramill""",0,1.0,0.0,0.0
15,train_aaqdsbdkud,"""hình hp vl""",0,1.0,0.0,0.0
16,train_aaqepcrths,"""tôi không hối_hận về mọi thứ tôi đã làm tôi chỉ buồn khi mọi chuyện không như tôi suy_nghĩ đã cố_gắng đã học cách chấp_nhận nhưng mà tôi vẫn có phút yếu lòng cuộc_đời này đã làm tôi mệt ngồi lên xe lướt trong gió có_lẽ sẽ trôi bớt đi buồn_phiền tâm_sự của người tuổi by city nha trang""",0,1.0,0.0,0.0
17,train_aastrckdwe,"""hai tháng nữa là tròn một năm giã_từ nghiệp buôn_bán tui sẽ thực_sự quay về vui với các em lan thôi thì ăn muối mà được ngắm các em còn hơn ăn thịt mà lòng trĩu_nặng ưu_phiền""",0,1.0,0.0,0.0
18,train_aaulhgcbbc,"""nắng ánh hồng lại nịnh thối đấy cái đồ quỷ_sứ""",0,1.0,0.0,0.0
19,train_aaveiwrnyn,"""mới xong khu vườn cho bé yêu mà thấy mê quá tinh tran xuan tống_thị huyền""",0,1.0,0.0,0.0
20,train_aavyhveuip,"""đi du_lịch giảm xì chét thiện_diệu niếu đổi tên""",0,1.0,0.0,0.0
21,train_aawrjnpzcy,"""chạy đâu cho khỏi mưa_rào thông_minh cho lắm yêu vào cũng ngu""",0,1.0,0.0,0.0
22,train_aawwdlieng,"""chu_huyền trang mình tuyển ca sáng nha""",0,1.0,0.0,0.0
23,train_aaxswmxlug,"""quỳnh nhưngọc anh lanh_chanh haha đúng vl""",0,1.0,0.0,0.0
24,train_aaylicmcsa,"""shop về chuyến cuối ae nhé mặc hè thì quá tuyệt luôn giá ngon bổ rẻ đặng_trung đức fantastic at hàng_hiệu authentic""",0,1.0,0.0,0.0
25,train_aaymonwtjd,"""new new cao nha cả nhà_gót đính chanh_sả lắm mấy chế ui bảo trân""",0,1.0,0.0,0.0
26,train_aaywialasu,"""vkl""",1,0.0,1.0,0.0
27,train_abanxammhk,"""đéo lấy vợ nữa đâu""",1,0.0,1.0,0.0
28,train_abaowrqwio,"""tội anh_trai của tui vl""",0,1.0,0.0,0.0
29,train_abbuikhbuj,"""hai còii thanh mai thử một lần chơi lớn xem thiên_hạ có trầm_trồ vụ_việc diễn ra lúc ngõ hoàng quý lê_chân hải phòng""",0,1.0,0.0,0.0
30,train_abcjwddjum,"""hpbd na của út""",0,1.0,0.0,0.0
31,train_abcsvogoxb,"""cục nợ trần_thu hương nhi lê""",0,1.0,0.0,0.0
32,train_abdcikuomi,"""chúng truyền lào tom vlogs công_nghệ làm sữa giả""",2,0.0,0.0,1.0
33,train_abdjpogcgb,"""muốn tránh thất nhân_tâm và giao_tiếp xử_thế đắc nhân_tâm thì phải luyện đức thu tâm hoàng xuân việt có_thể nói đây là cuốn sách rút kết lại những tinh_hoa triết_lý sống từ các sách về học làm người nổi_tiếng do các học_giả uyên_bác như nguyễn_hiến lê_đắc nhân_tâm nguyễn_duy cần thuật xử_thế của người_xưa dày công biên_soạn và thú_vị hơn nữa là ngoài đời thực họ cũng là bạn_bè tâm_giao của nhau cùng chung lý_tưởng mong_muốn truyền_bá văn_hóa ứng_xử thu_phục nhân_tâm cho thế_hệ tiếp_theo hãy cùng tìm đọc và cùng kiểm_chứng chiêm_nghiệm những tinh_hoa để lại của nhà ngôn_ngữ học tài_ba này bạn nhé thất nhân_tâm thatnhantam hoangxuanviet sachhoclamnguoi""",0,1.0,0.0,0.0
34,train_abdpnrsbtk,"""cuộc_sống luôn đổi_thay từng ngày từng giờ không ai trong chúng_ta có_thể thay_đổi được điều ấy nhưng có một điều chúng_ta có_thể làm được đó là lựa_chọn cách sống cho chính bản_thân mình""",0,1.0,0.0,0.0
35,train_abeiqerdfb,"""bắp_cải úa nghĩ giàu làm_giàu sự hiểu_biết của bạn có_thể bây_giờ chưa cần nhưng trong những trường_hợp cấp_bách sẽ giúp_đỡ được nhiều người hoặc làm nhiều điều nghĩa follow người trẻ làm_nên nghiệp lớn adp nguoitre hieubiet italkvietnam nguồn nghĩ giàu làm_giàu""",0,1.0,0.0,0.0
36,train_abeqnskulc,"""tạo huệ nguyên thích trí huệ tối mai ngày thầy dạy giáo_lý chùa hưng cmt tphcm lúc""",0,1.0,0.0,0.0
37,train_abexukdlpc,"""vì dân trung hoa vì nước trung quốc hả bác bác xỏ_lá nó vừa vừa thôi ông mới nằm_xuống thôi chứ chưa chết hẳn đâu mà bác dở cái giọng xỏ_lá đấy ra""",1,0.0,1.0,0.0
38,train_abfkzijgct,"""mặn như hay vl""",0,1.0,0.0,0.0
39,train_abfrzfuqcm,"""kem nhà vẫn có sẵn nha mọi người ăn alo ship nhé dương thu hà_dương kem đầy tủ luôn mọi người ăn alo ship nhé que que thùng que miễn_phí ship quanh bắc_giang nhé ai ăn alo nha""",0,1.0,0.0,0.0
40,train_abfxsqitui,"""quần_jean suông dbg jean suông dáng lửng cho chuỵ em mặc với sơ_mi phông crop chuỵ nào ngại dáng dài thì mặc ẻm này nhé dáng này đến mắt_cá chân size màu đen trắng nâu giá thương thương vũ""",0,1.0,0.0,0.0
41,train_abhvpptixv,"""tao lấy trứng dái đập hả con lol""",2,0.0,0.0,1.0
42,train_abioeumhus,"""vừa đen vừa gầy hết kỉ_yếu phút đã thật trước phút thứ nhận ra lớp mình có con_heo excited hoàng thương kỉ_yếu dq đh tckt tp quảng_ngãi thực_hiện boonwedding studio địa_chỉ quang_trung tp quảng_ngãi sđt fb""",0,1.0,0.0,0.0
43,train_abjabgbfrd,"""tam_si ymt lâm_chấn huy tình anh_em lâm_chấn huy sớt chia buồn vui hay những khi hoạn_nạn đều có anh_em kề bên lchsongdehat tinhanhem tudaithienvuong""",0,1.0,0.0,0.0
44,train_abjlvrdxmn,"""bom duong tran hung dao tphcm""",0,1.0,0.0,0.0
45,train_abjshaiiqg,"""tắm bùn kiểu chuất vl""",0,1.0,0.0,0.0
46,train_abkhyccqxq,"""công_dụng tuyệt_vời khi kết_hợp kem_face_lotion giảm mờ nám tàn_nhang trị thâm hiệu_quả giúp da trắng sáng đều màu se khít lỗ chân_lông kiềm dầu hiệu_quả tạo được lớp makeup hoàn_hảo cho da mặt có chỉ_số chống nắng phù_hợp mọi loại da để được tư_vấn sản_phẩm chăm_sóc da tốt nhất hàng luôn có sẵn ship hàng toàn_quốc cod thư lê_hương ròm""",0,1.0,0.0,0.0
47,train_ablludsrxc,"""maxi cotton in chữ sát_nách về thêm khách nhé nga nana""",0,1.0,0.0,0.0
48,train_ablntglsuy,"""thằng này xao lol thông chốt nè mấy chú bắt nó đi haha huỳnh_trần tùng csgt bình chánh tuổi gì đòi thổi thông chốt muốn nín thở""",2,0.0,0.0,1.0
